book_number,name,region,hub,distance_mi,difficulty,elevation_ft,highlights,done,date_done,drive_minutes_denver,best_months,stroller_ok,family_rating,notes,alltrails_url
1,Horsetooth Falls,Front Range,Fort Collins,2.4,Moderate,325,"Wildflowers, views, waterfall, cave",,,75,"May,Jun,Jul,Aug,Sep,Oct",,, https://www.alltrails.com/trail/us/colorado/horsetooth-falls--4
2,Chautauqua and Bluebell Loop,Front Range,Boulder,1.6,Moderate,463,"Flowers, cool geology, history",,,45,"Apr,May,Jun,Jul,Aug,Sep,Oct",,,https://www.alltrails.com/trail/us/colorado/chautauqua-and-bluebell-trail-loop
3,Crags Hotel Ruins,Front Range,"Eldorado Springs/Boulder",3,Challenging,725,"View, geology, historical ruins",,,35,"Apr,May,Jun,Jul,Aug,Sep,Oct",,,https://www.alltrails.com/trail/us/colorado/crags-hotel-ruins-and-continental-divide-overlook
4,White Ranch and Sawmill Trail,Front Range,Golden,2.3,Moderate,361,"Historic sawmill, view",,,40,"Apr,May,Jun,Jul,Aug,Sep,Oct",,,https://www.alltrails.com/trail/us/colorado/sawmill-trail-and-belcher-hill-trail-loop
5,Lair o' the Bear,Front Range,Morrison,2,Easy,141,"Castle and beautiful creek",,,35,"Apr,May,Jun,Jul,Aug,Sep,Oct",,,https://www.alltrails.com/trail/us/colorado/bear-creek-trail-to-the-castle
6,Brother and Sisters Loop,Front Range,Evergreen,3.5,Moderate,456,"Meadows, forests, views, cool rocks, climbing",,,45,"Apr,May,Jun,Jul,Aug,Sep,Oct",,,https://www.alltrails.com/trail/us/colorado/the-brother-and-sisters-loop
7,Mount Falcon,Front Range,Morrison,2.6,Moderate,361,"Meadows, forests, castle ruins, lookout tower",,,35,"Apr,May,Jun,Jul,Aug,Sep,Oct",,,https://www.alltrails.com/trail/us/colorado/castle-meadow-and-tower-trails
8,Red Rock Canyon,Front Range,Manitou Springs,1.8,Easy,282,"Red rocks, quarry, lake",,,75,"Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov",,,https://www.alltrails.com/trail/us/colorado/red-rock-canyon-open-space-main-loop
9,Seven Bridges,Front Range,Colorado Springs,3.7,Challenging,725,"Bridges, creek, forest",,,75,"May,Jun,Jul,Aug,Sep,Oct",,,https://www.alltrails.com/trail/us/colorado/seven-bridges-trail
10,Devil's Head,Front Range,Castle Rock,2.8,Challenging,843,"Views, fire tower, meadows",,,75,"May,Jun,Jul,Aug,Sep,Oct",,,https://www.alltrails.com/trail/us/colorado/devils-head-trail
11,Pine Valley Lake,North and Central Rockies,Conifer,1.6,Easy,36,"Lake, fishing, bridges, old railroad tracks",,,45,"May,Jun,Jul,Aug,Sep,Oct",,,https://www.alltrails.com/trail/us/colorado/pine-valley-ranch-loop-trail
12,South Rim of Roxborough State Park,North and Central Rockies,Roxborough State Park,2.1,Moderate,466,"Wildflowers, geology, birdwatching, views",,,40,"Apr,May,Jun,Jul,Aug,Sep,Oct",,,https://www.alltrails.com/trail/us/colorado/south-rim-trail--3
13,Eleven Mile State Park,North and Central Rockies,"Florissant/Colorado Springs",4,Moderate,427,"Lake, climbing rocks, caves",,,90,"May,Jun,Jul,Aug,Sep,Oct",,,https://www.alltrails.com/trail/us/colorado/eleven-mile-canyon-trail
14,Twin Lakes,North and Central Rockies,Buena Vista,4.6,Easy,213,"Lake, historical hotel, meadows, aspens",,,120,"Jun,Jul,Aug,Sep,Oct",,,https://www.alltrails.com/trail/us/colorado/twin-lakes-trail--4
15,Judd Falls,North and Central Rockies,Crested Butte,2.4,Moderate,486,"Waterfall, views",,,195,"Jun,Jul,Aug,Sep,Oct",,,https://www.alltrails.com/trail/us/colorado/judd-falls-trail
16,Crater Lake,North and Central Rockies,Snowmass Village,4,Challenging,705,"Glaciers, views",,,180,"Jun,Jul,Aug,Sep",,,https://www.alltrails.com/trail/us/colorado/crater-lake-trail--3
